"charge_amount","currency","membership_id","description_event","discount","status","message","transaction_date","triggered_by","payment_method"
"3371.25",NULL,2,membership payment,0,Success,Success,"2019-12-10 00:00:00",system,PaymentCard
"2097",USD,5,membership payment,0,Success,Success,"2019-12-17 00:00:00",system,PaymentCard
"1497",USD,21,membership payment,0,Success,Success,"2019-12-17 00:00:00",system,PaymentCard
"1497",USD,18,membership payment,0,Success,Success,"2019-12-24 00:00:00",system,PaymentCard
"499",USD,19,membership payment,0,Success,Success,"2020-01-03 00:00:00",system,PaymentCard
"499",USD,19,membership payment,0,Success,Success,"2020-01-03 00:00:00",system,PaymentCard
"499",USD,21,membership payment,0,Success,Success,"2020-01-14 00:00:00",system,PaymentCard
"999",USD,14,membership payment,0,Success,Success,"2020-01-22 00:00:00",system,PaymentCard
"499",USD,1,membership payment,0,Success,Success,"2020-01-22 00:00:00",system,PaymentCard
"499",USD,1,membership payment,0,Success,Success,"2020-01-22 00:00:00",system,PaymentCard
"1497",USD,8,membership payment,0,Success,Success,"2020-01-28 00:00:00",system,PaymentCard
"1497",USD,18,membership payment,0,Success,Success,"2020-01-28 00:00:00",system,PaymentCard
"1497",USD,4,membership payment,0,Success,Success,"2020-02-04 00:00:00",system,PaymentCard
"1497",USD,13,membership payment,0,Success,Success,"2020-02-04 00:00:00",system,PaymentCard
"499",USD,7,membership payment,0,Success,Success,"2020-02-04 00:00:00",system,PaymentCard
"1497",USD,25,membership payment,0,Success,Success,"2020-02-04 00:00:00",system,PaymentCard
"499",USD,19,membership payment,0,Success,Success,"2020-02-04 00:00:00",system,PaymentCard
"1497",USD,67,membership payment,0,Success,Success,"2020-02-04 00:00:00",system,PaymentCard
"499",USD,19,membership payment,0,Success,Success,"2020-02-04 00:00:00",system,PaymentCard
"1497",USD,15,membership payment,0,Success,Success,"2020-02-11 00:00:00",system,PaymentCard
"499",USD,21,membership payment,0,Success,Success,"2020-02-11 00:00:00",system,PaymentCard
"499",USD,21,membership payment,0,Success,Success,"2020-02-11 00:00:00",system,PaymentCard
"499",USD,21,membership payment,0,Success,Success,"2020-02-11 00:00:00",system,PaymentCard
"7125",USD,22,membership payment,0,Success,Success,"2020-02-18 00:00:00",system,PaymentCard
"2997",USD,23,membership payment,0,Success,Success,"2020-02-18 00:00:00",system,PaymentCard
"2097",USD,5,membership payment,0,Success,Success,"2020-02-18 00:00:00",system,PaymentCard
"1497",USD,12,membership payment,0,Success,Success,"2020-02-18 00:00:00",system,PaymentCard
"999",USD,14,membership payment,0,Success,Success,"2020-02-25 00:00:00",system,PaymentCard
"2997",USD,14,membership payment,0,Success,Success,"2020-02-25 00:00:00",system,PaymentCard
"1497",USD,7,membership payment,0,Success,Success,"2020-02-25 00:00:00",system,PaymentCard
"499",USD,21,membership payment,0,Success,Success,"2020-02-25 00:00:00",system,PaymentCard
"499",USD,1,membership payment,0,Success,Success,"2020-02-25 00:00:00",system,PaymentCard
"1497",USD,21,membership payment,0,Success,Success,"2020-02-25 00:00:00",system,PaymentCard
"999",USD,14,membership payment,0,Success,Success,"2020-03-10 00:00:00",system,PaymentCard
"499",USD,19,membership payment,0,Success,Success,"2020-03-11 00:00:00",system,PaymentCard
"499",USD,19,membership payment,0,Success,Success,"2020-03-11 00:00:00",system,PaymentCard
"1497",USD,19,membership payment,0,Success,Success,"2020-03-11 00:00:00",system,PaymentCard
"3371.25",USD,6,membership payment,0,Success,Success,"2020-03-11 00:00:00",system,PaymentCard
"1497",USD,77,membership payment,0,Success,Success,"2020-03-13 00:00:00",system,PaymentCard
"499",USD,20,membership payment,0,Success,Success,"2020-03-17 00:00:00",system,PaymentCard
"1497",USD,20,membership payment,0,Success,Success,"2020-03-17 00:00:00",system,PaymentCard
"8997",USD,71,membership payment,0,Success,Success,"2020-03-24 00:00:00",system,PaymentCard
"499",USD,18,membership payment,0,Success,Success,"2020-03-24 00:00:00",system,PaymentCard
"499",USD,1,membership payment,0,Success,Success,"2020-03-24 00:00:00",system,PaymentCard
"1497",USD,80,membership payment,0,Success,Success,"2020-03-24 00:00:00",system,PaymentCard
"1497",USD,70,membership payment,0,Success,Success,"2020-04-02 00:00:00",system,PaymentCard
"1497",USD,25,membership payment,0,Success,Success,"2020-04-02 00:00:00",system,PaymentCard
"1497",USD,74,membership payment,0,Success,Success,"2020-04-10 00:00:00",system,PaymentCard
"1497",USD,67,membership payment,0,Success,Success,"2020-04-21 00:00:00",system,PaymentCard
"2997",USD,23,membership payment,0,Success,Success,"2020-04-28 00:00:00",system,PaymentCard
"1497",USD,79,membership payment,0,Success,Success,"2020-05-01 00:00:00",system,PaymentCard
"3371.25",USD,73,membership payment,0,Success,Success,"2020-05-05 00:00:00",system,PaymentCard
"1497",USD,84,membership payment,0,Success,Success,"2020-05-06 00:00:00",system,PaymentCard
"499",USD,67,membership payment,0,Success,Success,"2020-05-13 00:00:00",system,PaymentCard
"499",USD,67,membership payment,0,Success,Success,"2020-05-13 00:00:00",system,PaymentCard
"3371.25",USD,76,membership payment,0,Success,Success,"2020-05-13 00:00:00",system,PaymentCard
"1497",USD,78,membership payment,0,Success,Success,"2020-05-13 00:00:00",system,PaymentCard
"1497",USD,15,membership payment,0,Success,Success,"2020-05-13 00:00:00",system,PaymentCard
"499",USD,78,membership payment,0,Success,Success,"2020-05-13 00:00:00",system,PaymentCard
"2997",USD,14,membership payment,0,Success,Success,"2020-05-19 00:00:00",system,PaymentCard
"1497",USD,75,membership payment,0,Success,Success,"2020-05-19 00:00:00",system,PaymentCard
"1497",USD,8,membership payment,0,Success,Success,"2020-05-19 00:00:00",system,PaymentCard
"999",USD,14,membership payment,0,Success,Success,"2020-05-19 00:00:00",system,PaymentCard
"999",USD,14,membership payment,0,Success,Success,"2020-05-19 00:00:00",system,PaymentCard
"2997",USD,14,membership payment,0,Success,Success,"2020-05-19 00:00:00",system,PaymentCard
"499",USD,15,membership payment,0,Success,Success,"2020-05-19 00:00:00",system,PaymentCard
"2097",USD,5,membership payment,0,Success,Success,"2020-05-19 00:00:00",system,PaymentCard
"499",USD,18,membership payment,0,Success,Success,"2020-06-02 00:00:00",system,PaymentCard
"999",USD,14,membership payment,0,Success,Success,"2020-06-02 00:00:00",system,PaymentCard
"7125",USD,22,membership payment,0,Success,Success,"2020-06-09 00:00:00",system,PaymentCard
"499",USD,20,membership payment,0,Success,Success,"2020-06-23 00:00:00",system,PaymentCard
"499",USD,20,membership payment,0,Success,Success,"2020-06-23 00:00:00",system,PaymentCard
"7440",DKK,2,membership payment,0,Success,Success,"2020-07-10 00:00:00",system,PaymentCard
"22320",DKK,2,membership payment,0,Success,Success,"2020-07-10 00:00:00",system,PaymentCard
"499",USD,67,membership payment,0,Success,Success,"2020-07-14 00:00:00",system,PaymentCard
"499",USD,67,membership payment,0,Success,Success,"2020-07-14 00:00:00",system,PaymentCard
"2997",USD,83,membership payment,0,Success,Success,"2020-10-15 00:00:00",system,PaymentCard
"999",USD,104,membership additional service,0,Success,Success,"2020-10-26 00:00:00",system,PaymentCard
"1497",USD,87,membership payment,0,Success,Success,"2020-10-29 00:00:00",system,PaymentCard
"499",USD,101,membership additional service,0,Success,Success,"2020-10-30 00:00:00",system,PaymentCard
"12495",USD,6,membership payment,0,Success,Success,"2020-11-01 00:00:00",system,PaymentCard
"1497",USD,20,membership payment,0,Success,Success,"2020-11-01 00:00:00",system,PaymentCard
"1497",USD,70,membership payment,0,Success,Success,"2020-11-01 00:00:00",system,PaymentCard
"8997",USD,71,membership payment,0,Success,Success,"2020-11-01 00:00:00",system,PaymentCard
"1497",USD,91,membership payment,0,Success,Success,"2020-11-01 00:00:00",system,PaymentCard
"22312.5",DKK,110,membership payment,0,Success,Success,"2020-11-01 00:00:00",system,PaymentCard
"178748",DKK,111,membership payment,0,Success,Success,"2020-11-01 00:00:00",system,PaymentCard
"32497.5",DKK,112,membership payment,0,Success,Success,"2020-11-01 00:00:00",system,PaymentCard
"10788",USD,119,membership payment,0,Success,Success,"2020-11-04 00:00:00",system,PaymentCard
"3371.25",USD,89,membership payment,0,Success,Success,"2020-11-05 00:00:00",system,PaymentCard
"499",USD,19,membership additional service,0,Success,Success,"2020-11-05 00:00:00",system,PaymentCard
"1497",USD,88,membership payment,0,Success,Success,"2020-11-05 00:00:00",system,PaymentCard
"1497",USD,104,membership payment,0,Success,Success,"2020-11-06 00:00:00",system,PaymentCard
"499",USD,101,membership additional service,0,Success,Success,"2020-11-09 00:00:00",system,PaymentCard
"999",USD,14,membership additional service,0,Success,Success,"2020-11-10 00:00:00",system,PaymentCard
"1497",USD,92,membership payment,0,Success,Success,"2020-11-11 00:00:00",system,PaymentCard
"1497",USD,120,membership payment,0,Success,Success,"2020-11-11 00:00:00",system,PaymentCard
"499",USD,19,membership additional service,0,Success,Success,"2020-11-11 00:00:00",system,PaymentCard
"1497",USD,121,membership payment,0,Success,Success,"2020-11-12 00:00:00",system,PaymentCard
"2375",USD,99,membership additional service,0,Success,Success,"2020-11-12 00:00:00",system,PaymentCard
"1497",USD,106,membership payment,0,Success,Success,"2020-11-13 00:00:00",system,PaymentCard
"1497",USD,75,membership payment,0,Success,Success,"2020-11-14 00:00:00",system,PaymentCard
"3236.4",USD,107,membership payment,0,Success,Success,"2020-11-14 00:00:00",system,PaymentCard
"2997",USD,23,membership payment,0,Success,Success,"2020-11-18 00:00:00",system,PaymentCard
"1497",USD,19,membership payment,0,Success,Success,"2020-11-19 00:00:00",system,PaymentCard
"499",USD,15,membership additional service,0,Success,Success,"2020-11-19 00:00:00",system,PaymentCard
"499",USD,123,membership payment,0,Success,Success,"2020-11-19 00:00:00",system,PaymentCard
"1123.75",USD,124,membership payment,0,Success,Success,"2020-11-19 00:00:00",system,PaymentCard
"1497",USD,74,membership payment,0,Success,Success,"2020-11-24 00:00:00",system,PaymentCard
"1123.75",USD,125,membership payment,0,Success,Success,"2020-11-24 00:00:00",system,PaymentCard
"499",USD,15,membership additional service,0,Success,Success,"2020-11-24 00:00:00",system,PaymentCard
"1497",USD,108,membership payment,0,Success,Success,"2020-11-25 00:00:00",system,PaymentCard
"1497",USD,93,membership payment,0,Success,Success,"2020-11-28 00:00:00",system,PaymentCard
"1497",USD,8,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"1497",USD,18,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"1497",USD,25,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"1497",USD,79,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"1497",USD,101,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"1497",USD,109,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"2997",USD,117,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"1497",USD,102,membership payment,0,Failed,Your card does not support this type of purchase.,"2020-12-01 00:00:00",system,PaymentCard
"2999",EUR,127,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"8000",USD,128,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card has insufficient funds.,"2020-12-01 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Success,Success,"2020-12-01 00:00:00",system,PaymentCard
"1497",USD,95,membership payment,0,Success,Success,"2020-12-03 00:00:00",system,PaymentCard
"2997",USD,114,membership payment,0,Success,Success,"2020-12-03 00:00:00",system,PaymentCard
"3600",USD,78,membership payment,0,Success,Success,"2020-12-04 00:00:00",system,PaymentCard
"499",USD,130,membership payment,0,Failed,Your card has insufficient funds.,"2020-12-04 00:00:00",system,PaymentCard
"2997",USD,14,membership payment,0,Success,Success,"2020-12-06 00:00:00",system,PaymentCard
"3000",USD,131,membership payment,0,Success,Success,"2020-12-07 00:00:00",system,PaymentCard
"1497",USD,130,membership payment,0,Success,Success,"2020-12-07 00:00:00",system,PaymentCard
"2997",USD,130,membership payment,0,Success,Success,"2020-12-08 00:00:00",system,PaymentCard
"1497",USD,132,membership payment,0,Success,Success,"2020-12-08 00:00:00",system,PaymentCard
"1500",USD,133,membership payment,0,Success,Success,"2020-12-09 00:00:00",system,PaymentCard
"1497",USD,134,membership payment,0,Success,Success,"2020-12-09 00:00:00",system,PaymentCard
"1497",USD,96,membership payment,0,Success,Success,"2020-12-11 00:00:00",system,PaymentCard
"2997",USD,97,membership payment,0,Success,Success,"2020-12-15 00:00:00",system,PaymentCard
"499",USD,80,membership additional service,0,Success,Success,"2020-12-15 00:00:00",system,PaymentCard
"1497",USD,80,membership payment,0,Success,Success,"2020-12-16 00:00:00",system,PaymentCard
"3371.25",USD,73,membership payment,0,Success,Success,"2020-12-16 00:00:00",system,PaymentCard
"1497",USD,67,membership payment,0,Success,Success,"2020-12-17 00:00:00",system,PaymentCard
"3371.25",USD,76,membership payment,0,Success,Success,"2020-12-17 00:00:00",system,PaymentCard
"499",USD,15,membership additional service,0,Success,Success,"2020-12-17 00:00:00",system,PaymentCard
"10788",USD,135,membership payment,0,Success,Success,"2020-12-17 00:00:00",system,PaymentCard
"499",USD,15,membership additional service,0,Success,Success,"2020-12-18 00:00:00",system,PaymentCard
"12000",USD,136,membership payment,0,Success,Success,"2020-12-18 00:00:00",system,PaymentCard
"499",USD,123,membership payment,0,Success,Success,"2020-12-19 00:00:00",system,PaymentCard
"499",USD,74,membership payment,0,Success,Success,"2020-12-22 00:00:00",system,PaymentCard
"499",USD,138,membership payment,0,Success,Success,"2020-12-22 00:00:00",system,PaymentCard
"1497",USD,15,membership payment,0,Success,Success,"2020-12-25 00:00:00",system,PaymentCard
"499",USD,7,membership additional service,0,Success,Success,"2020-12-26 00:00:00",system,PaymentCard
"1497",USD,98,membership payment,0,Success,Success,"2020-12-29 00:00:00",system,PaymentCard
"7125",USD,22,membership payment,0,Success,Success,"2020-12-30 00:00:00",system,PaymentCard
"2097",USD,5,membership payment,0,Success,Success,"2021-01-01 00:00:00",system,PaymentCard
"3371.25",USD,82,membership payment,0,Success,Success,"2021-01-01 00:00:00",system,PaymentCard
"10788",USD,90,membership payment,0,Success,Success,"2021-01-01 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Success,Success,"2021-01-01 00:00:00",system,PaymentCard
"22800",USD,149,membership payment,0,Success,Success,"2021-01-05 00:00:00",system,PaymentCard
"1123.75",USD,150,membership payment,0,Success,Success,"2021-01-05 00:00:00",system,PaymentCard
"6597",USD,151,membership payment,0,Success,Success,"2021-01-06 00:00:00",system,PaymentCard
"499",USD,153,membership payment,0,Success,Success,"2021-01-06 00:00:00",system,PaymentCard
"7125",USD,99,membership payment,0,Success,Success,"2021-01-07 00:00:00",system,PaymentCard
"8997",USD,149,membership payment,0,Success,Success,"2021-01-07 00:00:00",system,PaymentCard
"2997",USD,100,membership payment,0,Success,Success,"2021-01-08 00:00:00",system,PaymentCard
"1497",USD,118,membership additional service,0,Success,Success,"2021-01-08 00:00:00",system,PaymentCard
"1497",USD,84,membership payment,0,Success,Success,"2021-01-09 00:00:00",system,PaymentCard
"1096.78",USD,155,membership payment,0,Success,Success,"2021-01-11 00:00:00",system,PaymentCard
"1497",USD,118,membership payment,0,Success,Success,"2021-01-12 00:00:00",system,PaymentCard
"1497",USD,85,membership payment,0,Success,Success,"2021-01-13 00:00:00",system,PaymentCard
"1497",USD,155,membership payment,0,Success,Success,"2021-01-13 00:00:00",system,PaymentCard
"1497",USD,7,membership payment,0,Success,Success,"2021-01-15 00:00:00",system,PaymentCard
"1497",USD,12,membership payment,0,Success,Success,"2021-01-15 00:00:00",system,PaymentCard
"499",USD,101,membership payment,0,Success,Success,"2021-01-15 00:00:00",system,PaymentCard
"1123.75",USD,150,membership additional service,0,Success,Success,"2021-01-15 00:00:00",system,PaymentCard
"1497",USD,156,membership payment,0,Success,Success,"2021-01-15 00:00:00",system,PaymentCard
"499",USD,18,membership additional service,0,Success,Success,"2021-01-16 00:00:00",system,PaymentCard
"5394",USD,157,membership payment,0,Success,Success,"2021-01-18 00:00:00",system,PaymentCard
"499",USD,70,membership additional service,0,Success,Success,"2021-01-20 00:00:00",system,PaymentCard
"199980",USD,159,membership payment,0,Success,Success,"2021-01-21 00:00:00",system,PaymentCard
"4000",USD,128,membership additional service,0,Success,Success,"2021-01-21 00:00:00",system,PaymentCard
"499",USD,70,membership additional service,0,Success,Success,"2021-01-22 00:00:00",system,PaymentCard
"499",USD,87,membership additional service,0,Success,Success,"2021-01-23 00:00:00",system,PaymentCard
"499",USD,160,membership payment,0,Success,Success,"2021-01-25 00:00:00",system,PaymentCard
"3371.25",USD,161,membership payment,0,Success,Success,"2021-01-25 00:00:00",system,PaymentCard
"1497",USD,162,membership payment,0,Success,Success,"2021-01-25 00:00:00",system,PaymentCard
"1497",USD,86,membership payment,0,Success,Success,"2021-01-26 00:00:00",system,PaymentCard
"1497",USD,105,membership payment,0,Success,Success,"2021-01-26 00:00:00",system,PaymentCard
"499",USD,138,membership payment,0,Success,Success,"2021-01-26 00:00:00",system,PaymentCard
"499",USD,87,membership additional service,0,Success,Success,"2021-01-27 00:00:00",system,PaymentCard
"499",USD,145,membership payment,0,Success,Success,"2021-01-28 00:00:00",system,PaymentCard
"803",USD,148,membership payment,0,Success,Success,"2021-01-28 00:00:00",system,PaymentCard
"1497",USD,163,membership payment,0,Success,Success,"2021-01-28 00:00:00",system,PaymentCard
"1497",USD,164,membership payment,0,Success,Success,"2021-01-28 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-01-28 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-01-28 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-01-28 00:00:00",system,PaymentCard
"499",USD,74,membership additional service,0,Success,Success,"2021-01-28 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-01-28 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-01-28 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-01-29 00:00:00",system,PaymentCard
"1497",USD,87,membership payment,0,Success,Success,"2021-01-29 00:00:00",system,PaymentCard
"1497",USD,20,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"1497",USD,70,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"8997",USD,71,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"1497",USD,91,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"3371.25",USD,103,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"22312.5",DKK,110,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"178748",DKK,111,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"32497.5",DKK,112,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"2997",USD,139,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"11400",USD,142,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"8000",USD,128,membership payment,0,Success,Success,"2021-02-01 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-01 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-01 00:00:00",system,PaymentCard
"1497",USD,120,membership payment,0,Success,Success,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-02 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,165,membership payment,0,Success,Success,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-03 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"10800",USD,147,membership payment,0,Success,Success,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
"499",USD,129,membership payment,0,Failed,Your card was declined.,"2021-02-04 00:00:00",system,PaymentCard
